mrun,RBD,CODIGO_REGION_EGRESO,NOMBRE_REGION_EGRESO,PTJE_NEM,PTJE_RANKING,PROM_CM_ACTUAL,rango_edad,anio_ing_carr_ori,anio_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,nomb_carrera,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,forma_ingreso,NOMBRE_REGION_INGRESO,NOM_RBD,COD_REG_RB,TIPO_DEPEN,LATITUD_COL,LONGITUD_COL,NOMBRE_INS,REGIÓN,COMUNA,LATITUD_UNI,LONGITUD_UNI,TIPO_INST,ID_RBD,N EVALUADO,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM_Establecimiento,valor_corte,DISTANCIA
23506800,8394.0,11,Aysén,555,561,"526,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,84,UNIVERSIDAD DE LOS LAGOS,ENFERMERIA,Los Lagos,LLANQUIHUE,PUERTO MONTT,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Los Lagos,LICEO BICENTENARIO LUISA RABANAL PALMA,11.0,1.0,-46.540421,-71.72155,UNIVERSIDAD DE LOS LAGOS,Los Lagos,PUERTO MONTT,-41.46105,-72.930594,Universidades estatales cruch,8394.0,221.0,130.0,16.0,16.0,59.0,17.8812455071166,20.03805,572.9991920737413
12190596,14716.0,5,Valparaíso,727,827,"653,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,89,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,LICENCIATURA EN FISICA,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Licenciatura No Conducente a Título,1- Ingreso Directo (regular),Valparaíso,PAN AMERICAN COLLEGE VINA DEL MAR,5.0,2.0,-33.029819,-71.5336,,,,,,,14716.0,186.0,121.0,8.0,16.0,41.0,15.757657035300998,20.03805,
109157,8394.0,11,Aysén,479,479,432,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,77,UNIVERSIDAD DE MAGALLANES,TECNICO EN NIVEL SUPERIOR EN EDUCACION PARVULARIA,Aysén,COYHAIQUE,COYHAIQUE,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Aysén,LICEO BICENTENARIO LUISA RABANAL PALMA,11.0,1.0,-46.540421,-71.72155,UNIVERSIDAD DE MAGALLANES,Aysén,COYHAIQUE,-45.568566,-72.071274,Universidades estatales cruch,8394.0,221.0,130.0,16.0,16.0,59.0,17.8812455071166,20.03805,111.38374416832792
11656515,8394.0,11,Aysén,727,795,0,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,45,UNIVERSIDAD DEL DESARROLLO,ENFERMERIA,Metropolitana,SANTIAGO,LAS CONDES,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,LICEO BICENTENARIO LUISA RABANAL PALMA,11.0,1.0,-46.540421,-71.72155,UNIVERSIDAD DEL DESARROLLO,Metropolitana,LAS CONDES,-33.372476,-70.515748,Universidades privadas,8394.0,221.0,130.0,16.0,16.0,59.0,17.8812455071166,20.03805,1467.7618771118407
3476402,9246.0,13,Metropolitana,656,664,"535,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,69,UNIVERSIDAD ALBERTO HURTADO,ARQUEOLOGIA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO SAN AGUSTIN,13.0,3.0,-33.459222,-70.57815,UNIVERSIDAD ALBERTO HURTADO,Metropolitana,SANTIAGO,-33.443917,-70.662204,Universidades privadas cruch,,,,,,,19.03805,,7.981710703014864
12151216,2635.0,6,Lib. Gral B. O'Higgins,706,731,"681,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,70,UNIVERSIDAD DE CHILE,PROGRAMA ACADEMICO DE BACHILLERATO,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,"Bachillerato, Ciclo Inicial o Plan Común",1- Ingreso Directo (regular),Metropolitana,LICEO AGUSTIN ROSS EDWARDS,6.0,1.0,-34.39011,-72.002296,UNIVERSIDAD DE CHILE,Metropolitana,SANTIAGO,-33.435867,-70.645832,Universidades estatales cruch,2635.0,602.0,248.0,44.0,51.0,259.0,19.4869998647957,20.03805,164.0913079456923
4674180,2656.0,6,Lib. Gral B. O'Higgins,710,733,0,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,71,UNIVERSIDAD DE SANTIAGO DE CHILE,INGENIERIA COMERCIAL,Metropolitana,SANTIAGO,ESTACION CENTRAL,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO DE LA PRECIOSA SANGRE,6.0,2.0,-34.389999,-72.008904,,,,-33.444477,-70.68375,,2656.0,151.0,145.0,2.0,1.0,3.0,9.25522008472839,20.03805,161.2597964093737
3606901,2635.0,6,Lib. Gral B. O'Higgins,695,719,"561,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,72,UNIVERSIDAD DE VALPARAISO,NUTRICION Y DIETETICA,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso,LICEO AGUSTIN ROSS EDWARDS,6.0,1.0,-34.39011,-72.002296,,,,,,,2635.0,602.0,248.0,44.0,51.0,259.0,19.4869998647957,20.03805,
20148507,6752.0,14,Los Ríos,539,549,"419,5",15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,13,UNIVERSIDAD SANTO TOMAS,DERECHO,Los Ríos,VALDIVIA,VALDIVIA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Los Ríos,LICEO TECNICO VALDIVIA,14.0,1.0,-39.82925,-73.221237,,,,-39.792732,-73.392719,,6752.0,771.0,390.0,84.0,84.0,213.0,19.9877554042731,20.03805,15.19967000707478
19614085,7015.0,14,Los Ríos,738,767,"542,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,90,UNIVERSIDAD AUSTRAL DE CHILE,TERAPIA OCUPACIONAL,Los Ríos,VALDIVIA,VALDIVIA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Los Ríos,LICEO BICENTENARIO DE EXCELENCIA CARLOS HAVERBECK RICHTER,14.0,1.0,-39.889389,-73.432877,UNIVERSIDAD AUSTRAL DE CHILE,Los Ríos,VALDIVIA,-39.792732,-73.392719,Universidades privadas cruch,7015.0,230.0,166.0,22.0,12.0,30.0,15.4246968724361,20.03805,11.2813974472627
