mrun,rango_edad,anio_ing_carr_ori,anio_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,nomb_carrera,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,forma_ingreso,NOMBRE_REGION_INGRESO
1664.0,15 a 19 años,2021,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,100,IP INACAP,INGENIERIA EN ADMINISTRACION DE EMPRESAS,Antofagasta,EL LOA,CALAMA,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Antofagasta
1691.0,20 a 24 años,2019,2019,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,69,UNIVERSIDAD ALBERTO HURTADO,LICENCIATURA EN LENGUA Y LITERATURA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Licenciatura No Conducente a Título,1- Ingreso Directo (regular),Metropolitana
1700.0,15 a 19 años,2020,2020,Universidades,Universidades Privadas,Universidades Privadas,10,UNIVERSIDAD MAYOR,CINE,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
1703.0,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,72,UNIVERSIDAD DE VALPARAISO,ARQUITECTURA,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso
1709.0,20 a 24 años,2020,2020,Centros de Formación Técnica,Centros de Formación Técnica,Centros de Formación Técnica,450,CFT LOTA-ARAUCO,CONSTRUCCION,Biobío,CONCEPCION,LOTA,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Biobío
1738.0,20 a 24 años,2016,2016,Universidades,Universidades Privadas,Universidades Privadas,2,UNIVERSIDAD FINIS TERRAE,DISEÑO,Metropolitana,SANTIAGO,PROVIDENCIA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
1744.0,15 a 19 años,2021,2021,Centros de Formación Técnica,Centros de Formación Técnica,Centros de Formación Técnica,260,CFT SANTO TOMAS,TECNICO EN ENFERMERIA,Antofagasta,ANTOFAGASTA,ANTOFAGASTA,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Antofagasta
1745.0,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,83,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,DERECHO LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES BACHILLERATO EN CIENCIAS SOCIALES,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso
1785.0,25 a 29 años,2016,2016,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,70,UNIVERSIDAD DE CHILE,INGENIERIA AGRONOMICA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
1788.0,25 a 29 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,82,UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION,LICENCIATURA EN EDUCACION CON MENCION EN INGLES Y PEDAGOGIA EN INGLES,Metropolitana,SANTIAGO,ÑUÑOA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
1806.0,35 a 39 años,2018,2018,Universidades,Universidades Privadas,Universidades Privadas,10,UNIVERSIDAD MAYOR,MAGISTER EN NEUROCIENCIAS DE LA EDUCACION,La Araucanía,CAUTIN,TEMUCO,Postgrado,Magister,1- Ingreso Directo (regular),La Araucanía
1825.0,15 a 19 años,2020,2020,Universidades,Universidades Privadas,Universidades Privadas,11,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,DANZA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
1834.0,25 a 29 años,2018,2018,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,75,UNIVERSIDAD DEL BIO-BIO,INGENIERIA COMERCIAL,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Biobío
1853.0,35 a 39 años,2019,2019,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,139,IP DR. VIRGINIO GOMEZ G.,INGENIERIA DE EJECUCION EN ELECTRICIDAD-PE,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Sin Licenciatura,1- Ingreso Directo (regular),Biobío
1876.0,20 a 24 años,2018,2018,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,76,UNIVERSIDAD DE LA FRONTERA,MEDICINA,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),La Araucanía
1881.0,30 a 34 años,2007,2007,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,87,UNIVERSIDAD DE CONCEPCION,INGENIERIA CIVIL MATEMATICA,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Biobío
1910.0,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,88,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,TECNICO UNIVERSITARIO DIBUJANTE PROYECTISTA,Biobío,CONCEPCION,HUALPEN,Pregrado,Técnico de Nivel Superior,10- Otras formas de Ingreso,Biobío
1911.0,40 y más años,2019,2019,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,143,IP AIEP,TECNICO EN ADMINISTRACION DE EMPRESAS,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Metropolitana
1929.0,30 a 34 años,2020,2020,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,117,IP IACC,TECNICO SUPERIOR EN ADMINISTRACION DE EMPRESAS,Metropolitana,SANTIAGO,PROVIDENCIA,Pregrado,Técnico de Nivel Superior,1- Ingreso Directo (regular),Metropolitana
2007.0,20 a 24 años,2016,2016,Universidades,Universidades Privadas,Universidades Privadas,2,UNIVERSIDAD FINIS TERRAE,EDUCACION PARVULARIA,Metropolitana,SANTIAGO,PROVIDENCIA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
2026.0,20 a 24 años,2015,2015,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,87,UNIVERSIDAD DE CONCEPCION,INGENIERIA EN BIOTECNOLOGIA VEGETAL,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Biobío
2029.0,20 a 24 años,2019,2021,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,111,IP DUOC UC,INGENIERIA EN COMERCIO EXTERIOR,Metropolitana,SANTIAGO,PROVIDENCIA,Pregrado,Profesional Sin Licenciatura,3- Cambio Interno,Metropolitana
2068.0,20 a 24 años,2019,2019,Universidades,Universidades Privadas,Universidades Privadas,31,UNIVERSIDAD AUTONOMA DE CHILE,PEDAGOGIA EN EDUCACION DIFERENCIAL CON MENCION EN ACCESIBILIDAD AL APRENDIZAJE Y LA PARTICIPACION,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),La Araucanía
2069.0,20 a 24 años,2019,2019,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,90,UNIVERSIDAD AUSTRAL DE CHILE,TERAPIA OCUPACIONAL,Los Ríos,VALDIVIA,VALDIVIA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Los Ríos
2078.0,25 a 29 años,2014,2014,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,70,UNIVERSIDAD DE CHILE,DERECHO,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana
