mrun,RBD,CODIGO_REGION_EGRESO,NOMBRE_REGION_EGRESO,PTJE_NEM,PTJE_RANKING,PROM_CM_ACTUAL,rango_edad,anio_ing_carr_ori,anio_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,nomb_carrera,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,forma_ingreso,NOMBRE_REGION_INGRESO,NOM_RBD,COD_REG_RB,TIPO_DEPEN,LATITUD_COL,LONGITUD_COL,NOMBRE_INS,REGIÓN,COMUNA,LATITUD_UNI,LONGITUD_UNI,TIPO_INST
16285881,2863.0,7,Maule,577,576,492,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,31,UNIVERSIDAD AUTONOMA DE CHILE,FONOAUDIOLOGIA,Maule,TALCA,TALCA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,COLEGIO ADVENTISTA DE MOLINA,7.0,2.0,-35.114899,-71.282631,,,,-35.40421,-71.635118,
12215856,16582.0,7,Maule,707,749,475,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,78,UNIVERSIDAD DE TALCA,INGENIERIA COMERCIAL,Maule,TALCA,TALCA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,TECNOLOGICO NUEVO HORIZONTE,7.0,2.0,-34.981522,-71.249603,UNIVERSIDAD DE TALCA,Maule,TALCA,-35.40421,-71.635118,Universidades estatales cruch
22695527,2782.0,7,Maule,549,548,337,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,92,UNIVERSIDAD CATOLICA DEL MAULE,ADMINISTRACION PUBLICA,Maule,CURICO,CURICO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,COLEGIO SAN RAMON NONATO,7.0,2.0,-34.989792,-71.241379,,,,,,
7207433,2782.0,7,Maule,426,429,548,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,31,UNIVERSIDAD AUTONOMA DE CHILE,PEDAGOGIA EN EDUCACION FISICA,Maule,TALCA,TALCA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,COLEGIO SAN RAMON NONATO,7.0,2.0,-34.989792,-71.241379,,,,-35.40421,-71.635118,
4537253,2787.0,7,Maule,624,642,589,15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,71,UNIVERSIDAD DE SANTIAGO DE CHILE,ADMINISTRACION PUBLICA,Metropolitana,SANTIAGO,ESTACION CENTRAL,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO SANTO TOMAS DE CURICO,7.0,2.0,-34.988029,-71.239807,,,,-33.444477,-70.68375,
19056723,16424.0,7,Maule,555,571,624,15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,31,UNIVERSIDAD AUTONOMA DE CHILE,PSICOLOGIA,Maule,TALCA,TALCA,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,LICEO BICENTENARIO DE MOLINA MARIA DEL TRÁNSITO DE LA CRUZ,7.0,1.0,-35.113079,-71.283493,,,,-35.40421,-71.635118,
5605741,16417.0,7,Maule,657,692,"544,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,92,UNIVERSIDAD CATOLICA DEL MAULE,ENFERMERIA,Maule,CURICO,CURICO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Maule,COLEGIO BICENTENARIO POLITECNICO SAN JOSE DE CURICO,7.0,2.0,-34.99118,-71.235397,,,,,,
14890827,10724.0,13,Metropolitana,631,631,"515,5",15 a 19 años,2021,2021,Universidades,Universidades Privadas,Universidades Privadas,20,UNIVERSIDAD ANDRES BELLO,MEDICINA VETERINARIA,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Metropolitana,COLEGIO CARAMPANGUE,13.0,3.0,-33.664078,-70.93193,,,,-33.434819,-70.662722,
2710784,22306.0,10,Los Lagos,624,644,"562,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,90,UNIVERSIDAD AUSTRAL DE CHILE,ENFERMERIA,Los Lagos,LLANQUIHUE,PUERTO MONTT,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Los Lagos,COLEGIO PUERTO MONTT,10.0,2.0,-41.47007,-72.932503,UNIVERSIDAD AUSTRAL DE CHILE,Los Lagos,PUERTO MONTT,-41.486126,-72.9,Universidades privadas cruch
2643766,704.0,4,Coquimbo,555,555,"547,5",15 a 19 años,2021,2021,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,72,UNIVERSIDAD DE VALPARAISO,BIOLOGIA MARINA,Valparaíso,VALPARAISO,VALPARAISO,Pregrado,Profesional Con Licenciatura,1- Ingreso Directo (regular),Valparaíso,LICEO ALEJANDRO ALVAREZ JOFRE,4.0,1.0,-30.60228,-71.204826,,,,,,
