RBD,NOM_RBD,COD_REG_RB,TIPO_DEPEN,LATITUD_COL,LONGITUD_COL
8449,ESCUELA ELBA OJEDA GOMEZ,12.0,1.0,-53.057171,-70.859978
8479,ESCUELA CERRO SOMBRERO,12.0,1.0,-52.776199,-69.291924
8467,BERNARDO DE BRUYNE,12.0,1.0,-52.650558,-71.46315
8468,ESCUELA DIEGO PORTALES,12.0,1.0,-52.427261,-71.415176
8470,ESCUELA PUNTA DELGADA,12.0,1.0,-52.316399,-69.688454
24322,ESCUELA BASICA RURAL SENO OBSTRUCCION,12.0,1.0,-52.21006,-72.477608
40262,ESCUELA ESPECIAL DE LENGUAJE ULTIMA ESPERANZA,12.0,2.0,-51.73641,-72.491641
8421,LICEO SALESIANO MONSEÑOR FAGNANO,12.0,2.0,-51.736389,-72.493637
8413,ESCUELA CORONEL SANTIAGO BUERAS,12.0,1.0,-51.735889,-72.497757
8412,ESCUELA LIB. BERNARDO O´HIGGINS R.,12.0,1.0,-51.731239,-72.496986
8415,ESCUELA CAPITAN JUAN LADRILLERO,12.0,1.0,-51.730381,-72.487541
8416,ESC. DIF. NICOLAS MLADINIC DOBRONIC,12.0,1.0,-51.729733,-72.505493
24317,COLEGIO PUERTO NATALES,12.0,2.0,-51.72966,-72.487511
24333,ESCUELA ESPECIAL CLUB DE LEONES CRUZ DEL SUR,12.0,2.0,-51.728849,-72.483077
8422,LICEO BICENTENARIO MARIA MAZZARELLO,12.0,2.0,-51.727989,-72.504158
8411,LICEO BICENTENARIO POLITECNICO LUIS CRUZ MARTINEZ,12.0,1.0,-51.7244,-72.505783
24300,LICEO GABRIELA MISTRAL,12.0,1.0,-51.72411,-72.506813
8417,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,12.0,1.0,-51.721432,-72.496353
24332,CEIA CARLOS YANEZ MOYA,12.0,1.0,-51.720649,-72.496564
8420,ESC. DE CONCENTRACION FRONTERIZA DOROTEA,12.0,1.0,-51.608009,-72.333633
8423,ESC.HOGAR MUN.FRONTERIZA RAMON SERRANO M,12.0,1.0,-51.255291,-72.345818
24325,ESCUELA RURAL CERRO GUIDO,12.0,1.0,-50.939999,-72.45491
8419,ESC. PROF. MIGUEL S. MONTECINOS C.,12.0,1.0,-49.12896,-74.414978
8409,LICEO PIONEROS DEL SUR,11.0,1.0,-48.47023,-72.567574
8410,ESCUELA MUNICIPAL CDTE LUIS BRAVO BRAVO,11.0,1.0,-47.794579,-73.531898
8408,ESC. BASICA HERNAN MERINO CORREA,11.0,1.0,-47.253288,-72.572487
24201,LICEO BICENTENARIO AUSTRAL LORD COCHRANE,11.0,1.0,-47.25103,-72.570389
8399,ESCUELA DE PUERTO BERTRAND,11.0,1.0,-47.016529,-72.829803
8398,ESC. LIBERTADOR BERNARDO O´HIGGINS RIQUELME,11.0,1.0,-46.84322,-72.707161
8397,ESCUELA TULIO BURGOS RIVERA,11.0,1.0,-46.69519,-72.44677
8401,ESCUELA GABRIELA MISTRAL,11.0,1.0,-46.644562,-72.620293
